Puzzle	Elapsed Minutes	Estimated Minutes	Difficulty	Improper
..2...3..6.......9.7.615.4.23.....14.5.1.9.8..8..5..3..2.5.6.9.....8.....6.2.4.7.	4.92	3.90	0	0
127.....3...1..4......6.....5.89...746..7...2....54.......2......9..5...2.....158	5.36	4.82	0	0
.9145..8........4.6....3......7..6....5.9143.37....1....7.8....5.......1...9.25..	34.41	15.64	1	1
..7..38.2..6.......38..56........4.6.5..42..1.7..593.....91.....12.3....8........	5.36	5.09	0	0
2...4...1.596..4....8....2.1..7.8...7.....23......4....7.....9...3.7......5..1.82	3.61	4.52	0	0
2.8.....5..39.4......1...86....4.85....5.2....74.6....39...1......6.31..........7	6.16	3.68	0	0
...3.....1.95.........2..9...4.9..1...36.12..26....8...3.45.........64.2.7...8...	4.63	6.61	0	1
.7.4..83...2...1..6.......4...3.5.....4.8.3...5.7.6.1....1.7....21...5...47...92.	5.48	4.70	0	0
51.3......23.56.........1..43.9..6...5.....3...758.......419.....8..........3.71.	9.13	4.66	0	0
.6.5.8.9..3.6.1.5.....3.4...49...23...........75..........2.7...5.7.4....9.3...6.	7.95	6.73	0	1
..3.5.......1.79...1..3...7.8.3...7.5.....6.2.2...9.8.76.....4...82.61......9....	11.83	10.71	1	0
9.4.....2...29..3..5......4...8.7....1.....5..4...96..1..7......63.41.2.......8.5	19.91	6.69	0	1
9.76.21.3.53.7.46.............8.6...6.......9...2.5.............62.3.97.8.97.15.2	4.62	5.08	0	1
.71.........1..3.82..8...56.42...........9.......63.85.....54....7..8.2..65..1...	4.44	4.09	0	0
5.9....4....1...9.....926.8.3.8.4.2..2....5..4.8.....7.5..76..2..........8.2.1...	19.66	10.95	1	0
.6...3.........25...4..9..759.8..6...3.....9.4.2..7..16..9..1...27.........4.6.2.	13.58	6.79	0	1
52...46..3...8..71.4..6......2...98..1..5....8...49......59.1.6...6..3.......7.9.	9.37	5.65	1	0
......1.2..496..87.5...7..6.3.17.2...2...8.....8....3.4..5......9...4....87......	11.16	6.64	1	0
...9.7...6.......4.29...63.95.....83.875.946....4.3...4..3.8..6.36...57...8...3..	8.35	4.59	1	0
..4.6.9...3.1...4....8.7...1.....4.5.2.....1.5.......8...2......4...3.2..92.5.83.	10.57	9.09	1	0
8.......6.15...83...4..81..73...1.9....8.7........2..7...4.53...96...58.........4	5.12	6.37	0	1
...2.1.....43.52..27.....41.3.9.7.6.62.....83.........1.6...4.7..9.2.6...........	4.13	4.38	0	0
.9.54.....4.....92..5..74....8..5..3..3...2.15.....9....67..3..37...........29...	16.21	9.05	1	0
...16.....5....79..36.....5..9.1....48......97..84....5..6....4..4.8..62..2......	16.26	12.33	1	0
.....6...1..29.....3.4...29..456......1...8.......26..71...8...2...15..8...6.3...	6.02	6.57	0	1
...5...2......8.7.....731.56...9.5..1.38....9.7.........13.....95..8...1..7....4.	15.69	10.93	1	0
.6...4.7.8.......3.9.178.6.7.....9.1.........4.9.5.8.7.5..8....6.......2.7.2.1.4.	5.29	5.55	0	1
54..3..91..........879.124.3.98.65.2.........1.87.94.6.234.816..........89..6..24	4.15	2.50	0	0
..5.2.1...6.8........3....29....3.1...7.8...6..1.9.5...9.5....31.2..4.5......2.6.	11.26	10.85	1	0
4..8....7.2..4..8...6..32....7.....929.4...181...6.7.....3..1...6..8..2.5...9...4	13.13	7.04	0	0
..4...5..2..9.8..7...................95..746..7.63..2.5...2...94.17..3.2..9...7..	10.69	7.11	1	1
1....7..6..79..3...........25..6..87.6..4....31......4...........32.84..9..1.3..5	18.72	6.65	1	0
2....1..9.4.....2..6.....4.7.5..38.6.9..5..7...3......3..8.7..5..1...7......2....	8.01	7.86	1	0
.6.....58....5....7.......91.72.94..9.2...5.6.....3.7...48.13..8..7.4............	7.51	7.47	1	0
.8.....93...2.7...6....1..5.3....52..9....41.721.....6...7.5......1.9...87.......	10.81	5.29	0	0
.5.....8.2.......7..82.79...6.5.4.9..17...23..8.3.1.7...48.37..5.......8.3.....6.	3.63	3.61	0	0
5....3..1.8.....9....152...1.5.9.4....92..8....6.7.2.....5.1..........2.9..4....3	7.74	4.37	1	0
12...3........1..8...58.7.....19...6..4.....95.....87...7...95...1..2...23.4.....	5.94	3.74	0	0
..7....5.92...1.3.8..2......7...8......53...2...9..6.3....6...4..4.8.91.7.6......	6.12	6.22	0	1
.4.7..13.3.....6.8........4...8.2.71......2.5...6..9..59...4...8..2......6135....	6.61	4.43	0	0
3.4...6.5..73......1..58.....5.7....9..4.1..6....9.8.....84..7......75..1.3...4.2	3.39	3.92	0	0
...8.2...2.......1.1...9.7.75....28...8...3...3.....65.8..9.......5.3...3..2.8.49	6.44	6.12	0	0
.2.13...5.....4.....5.2.1....9..2....5..8...47.4.....9.3.....8......856.9..6....7	26.94	16.01	1	0
...3.....7..9.2..1.31.7.46...2...5....7...8...6....19..13.5.67....1....8...2.6...	4.71	5.13	0	0
..54.......72.36...4...6.17.1.....89.........3.....52.67.8...5....6.42.......23..	4.11	3.97	0	0
.7.......4...81..73.....8...2.5.69.41...2......5....6.5....42.8.8..6..5...9.7.4..	4.50	4.83	0	0
.3.2...4.4.5...7.2..18...692.4...6......27.......3.......1....33.8...4...56......	5.49	5.41	0	1
..1......2.....1...7..61.8....48...5.65...7..8...26......61..9...4.9.2.3......4..	7.57	7.77	0	0
4.7.....6......3...25..48.1..4.8..2....3.7.........4..9..1..65...8..2...3.....9..	5.19	4.03	0	0
...4.8.6.....5.....1...9.3.9.......68..7.1..21..6.5...6.......9....4..5..2.5.3.7.	19.44	14.54	1	0
6.5...9.4.2....71.............239...4.......32..4....8...8.3....9..5..8...49.65..	20.56	10.15	1	1
..75...1.3.......74.9..6....8.4.95..9.......26.2..5......3....47.......8.4...13..	19.51	6.63	0	0
6.....2.......5....9.3..17...297.3.8.........4..5.8.....6.....1.817...62.7...9.4.	4.78	4.63	0	0
.2......7...63...8...8...69.87....4.........5.6....28.53...6.......47...7.8...93.	4.31	5.95	0	0
7.......6.9....57.6..5.3..4..16........1.5..8..94.26..2....1..9.84....1..........	14.27	10.25	1	0
...5...........7.1..4..2.9.39..................2.1.547.8...51.2.....8..6.17..4.3.	6.23	4.95	0	0
47.3.....56297....31..........54.8.....7935.....12....7.....29.69....4.5......1.8	10.92	5.54	0	1
...5.1.2..1...9....4.....6.2.......8..73.89..4...5...6.8.....5....1.7....3.2...1.	7.07	5.32	1	0
....8...2.1.....3.2..5.9..615.....87.8..9..4.4.9...5.....6.......74.1....3.....1.	8.95	6.51	1	0
.........2.4...3.71..9.6..4..1...7....9.2.6...4.6.8.5.9.......1.......65...187...	12.79	15.45	1	0
2.3..1.....14...32.7.......3..9.268.56.......78..1....6.....8.....5..4.7....8.9..	11.20	6.73	1	0
.1.3.8.6...6...4....8.2.7..6..1.5..8..3...6..5..9....1....9.8....25.7....7.6.....	4.68	5.18	0	0
3.5..8.1....6..7......32..4.2.1.4...8.3...5....7....4...6.4...97..2.6.....8..1...	13.67	11.23	1	0
5......4.32....6.....2.9.7...4..83....97........56..9.......2......5...7.4.92..36	4.64	5.66	0	0
.24..9..5.8..6.7......4...3.45.23..68......7...7....5...8..5.4....43..1..7...6...	36.78	15.01	1	0
..8...2..7..8.6..1.6.1.3.8..9.....6....941.....7...4..3.9...1.7.1..8..5.2.......8	4.81	5.60	0	0
...9...........3283.1..........6.98...73..6.1...5.8..3..4.26.5..8....4..9.....7.2	5.39	3.96	0	0
.921.....37..496....8.3.......3....9.4.8.....8...6.72...6...8...........7....13.4	19.10	7.85	0	0
71.......2.98.17....8...9...9.1......8.....3....4.2.6...6...5.....5..2..83.....97	4.95	5.82	0	0
..689.............14.6.2..58..9.5..64..2..9.3.5.........25.8...98..........31.2..	3.82	5.73	0	0
.18...4.......4.5.3.....7..87..96....2......94....7......17..2..9..2.......4..8.6	28.25	11.24	1	0
..14....9..4.25...95....3..3..5..4...1.....7.......6.3..72.1.......7...24....8.6.	15.44	10.67	1	0
..7....92...2.7.4.9.5.....6.9..4.......1..7...8.7..42.....26...86...1...5.3......	5.37	4.54	0	0
...391...79....1....3...8..3...1...44.9...2.72...8...6..8...7....5....31...652...	3.90	3.47	0	0
..7.......235..61....3.6...9..6....3...9.8...6..7.1..8.....9.....51..34...4...2..	12.74	6.38	0	0
.5.....6....392...27..4..916.7...1.4.3.....2.9.5...6.876..8..59...673....8.....1.	4.04	2.80	0	0
4.28....5..8..93...3...6..4.4.9.8..7.........9..1...6.1..4...5....5.....6....2..8	6.82	6.66	0	0
.....8..79....4...7.....35...1.....6...3..4.8.5.1.9.....9..6...3.4...7.....4..6..	7.35	4.67	0	0
5..3.86.2.4.....3.7..5.....3.....5.1.5..9..2.1.2.....7.....3..8.8..59.1.6....7..4	45.19	13.99	1	0
....1.83.6.54..9...2.....6.......38...1...4...43.......5...3.9...9..25.6.1..6....	3.93	5.03	0	1
.5.....2...7.8.9....36.7...5...94..6.........8..23...5..4..23....8.4.....2.3.9.7.	8.41	5.82	1	0
6........5.2..47..3..7...9.9..8.7..5..3...6.....2.5..12..9...4.8.4..3...........8	7.27	7.48	1	0
93.5.2.814..6.3............59.....27..87.15...2......3............1.8..927.9.5.4.	10.03	6.69	1	0
..1.97.8.......23...4....9...9.1.....2.....6..5..4.7...7....6...35..4......37.5..	12.36	7.09	1	0
...41.7....2.......6.2..89.3...5..1.9.....5.2.........8.492..37..57..1......4....	12.45	6.66	1	0
..8..947..2.8....567....1......3.........18..739..2........46.7....6.........328.	14.07	8.43	1	0
....4..7...5.6.1.....9.8.....2....3...4...25..873.26.....8.7.....3.9.5...7..5..4.	4.64	5.41	0	0
...56.98........6....3.....8.7..54..1...84......19.7..3.8..6.5.64....2.........3.	6.64	6.10	0	0
...6.3.5.....2...3....5.4.27..3.1....26.....83..2.......3.8..9.4.....17..65......	5.38	5.42	0	0
..9..4..38........7..5.9.2.4...3...5...2....8.27.....153..4..............6...748.	5.58	6.51	0	0
.92.....517........4.83.2....3..7..2...35....4...2.1....7..5..9.......4..6.7...8.	6.13	4.48	0	0
.4.......3.9...561.7.1.8.....7..5..4.....47....873...5.1..8..5..6....1.9.3.6.9.2.	4.84	4.38	0	0
...69....2.....7..81.....39..7.4.....9....58.......9.237.....14..2.....3.8..13...	6.54	5.17	0	1
...4.2.....3.9......7...2.38..3.7..11.......74..5.9..6...2.15...1.....9...4...3..	8.15	5.88	1	0
.2.76..3.4.6.5....5..2...6..7.69..1...9.78.....43......4..2.1.6..1...8.....9....3	12.73	4.77	0	0
8..9.4..53.......2.6.5...3..8.7.6.9..71...2.....8.......315.9...29...7...........	8.29	6.00	0	0
.......54....167..8....79.2.....21.9.........4.39.....2.9.....5.8765....35.7.....	12.83	8.43	1	0
....3.....4.7.5.8...39.61...69...5..2.......1.38...46...21..6...9.5.8.4.....6....	10.02	4.50	0	0
48..5..73.9.....82...........36.2....4.9.7.2........4.95..6...4..62..1...3.......	4.44	3.79	0	0
...7....31....284...4.........3.....3.2...5...6..28....25.1..8..1..4..9...7...36.	27.94	15.93	1	0
9.......52.....3.7..4...1...152.4.6.....9........7....6..7.9..4..3...8....23.57..	4.84	4.30	0	0
...7.3....9.....8.1.7..69..86..3..29.2.....1.91..6...82.95..4...3.....7......4...	7.60	5.30	0	0
.......4.2.9.........498.16.2....7.4..8......1.5...38.56.2.7......1....3.....34..	4.89	5.84	0	0
.....5...5.4..872..76.....8......4.1...8.7...84.29.....9.5.....21.....7...74.....	6.16	4.79	0	0
..51..9.....2.....7...6..81...7.1.58..4...2...3.6.9...84......7......6.......5...	5.43	4.48	0	0
9..2.8..7..6...8.95...7...3...5.2....2...9.6......6...4...1......1...3.23....5..8	7.99	5.20	0	0
.......5442.....38...3.4...........5.6.7.3.2...3.8.6..5..812..99...7...........1.	6.33	5.77	0	0
3..8..9....4...8....69...57..5.2.........3...9....6..4.......8963.......52.38..6.	5.14	4.83	0	0
.8...59.33.......6.42.....12.8.......768.......4.91.....7..3.2.....29........8.34	9.68	4.99	0	0
..62..5........2...3.59..1.6....7...1.......4.9..8.73.3.......9..79.....98..3..5.	39.54	22.19	1	1
.....815..9.2.1.....6......4.......7.....32..8...57.....987....7.5....19...9...6.	11.25	6.09	0	0
....5..8...8..7...37....6.......45.8.......3..1.7....4..56...4.2...7.96....2.5..1	4.51	5.91	0	0
...2.9....1.....3.7...5...4....6......5..39.....4.7....8....6...573.829..3.9...5.	5.61	7.39	0	0
9.7...4.6...28..........89...3861...6.2.7..8..........5..3..2.......596..4......3	11.50	11.65	1	0
....156..1..9..5..25...........2..6.9..4.8..5.1..5...8.......43..9..4....8639....	8.49	8.20	1	1
2...8..59....9...4......1..5.8.....7.6...3.9..4.6..8.2....5.64.7.3...........19..	12.24	5.47	0	0
...3..9..6..45......527.....42.....1.......47......8....9.67.3..3.....9.7.6..2.1.	24.56	18.94	1	0
.....6....578...9....4....31...2.73....6.1....89.7...231...4....7.....4....1..5..	23.72	14.16	1	0
.9.6.....5........8..2..9.42..8......51...24......1..34.6..3..2...9....1.....5.7.	5.55	5.00	0	0
..1.4.......5.9...3....641...4..3.6.......5..58......7.2...8..54.8...1....9.7.6..	7.26	7.90	0	0
...9.2....8453.12.....1..3..3.....19.....7...86......3.1..2..4...245.38..........	18.04	6.54	1	0
...26....1.....35...9.1..8........2.96......4.4...5.9..9.........6.3.5...2..89..7	7.73	8.06	1	0
.1..87.......1.635.3.2.....3.....8..14.....62..2.....1.....5.4.2.6.7..8....8...5.	4.60	4.84	0	0
.56.1....4.9..6..32.1...8...7.6....5.....3...5....1.2...4.....2...2..5.9....9..8.	5.18	6.83	0	0
....1.....29.5...7......945...8...1.41.....62.3...2...568......1...3.42.....8....	5.46	4.56	0	0
.2....67.7..3.8..2.9.....4..4.7.2.9...........7.9.5.8..5.....3.9....4....64...1..	22.44	9.80	1	1
.....829....7.5.63.....9.456..4.....7.......1..1..6..224.9......6.5.2....531.....	9.68	5.22	1	0
.....67..3.....1......3......7...4.6..15.9.3.2....3.....8....9...9..7.2..7..4....	7.24	4.92	0	0
4...5...63.9...1.5.7.....8.............3.5....57...92.29.....618...4...7..3.6.5.2	5.91	3.80	0	0
.5.2...6.7.1.....4..6...7...3....2....81.4.5.4....6...9...5.....8...73.1...3.....	6.49	4.28	0	0
...5.9.2.1....3..6..9.425..9.......8..1...4..3.....2......5.6..2.......7.5.7.4.1.	4.78	4.51	0	0
.642.9...3.76......8..3..7.9.6...45...........3....6.1.9..1.........75.2...3.619.	34.66	18.15	1	0
...6........7.82631....37.461.4.....8.......5.....2.465.18....27935.4........6...	7.05	4.43	0	0
84..92...7..1....5...5..8.9.3.......1...4..9....7..4.6..6..85.4....2......3...7..	17.05	9.96	1	0
...7....9.....8...2.....7...52............6.371.6.4.8....8935....1.7..6.8....2...	6.02	7.07	0	0
.87...6......84.......1...46...29...5.3....92..9....8....5...79.61..3....7...1...	6.80	3.74	0	0
...........14.86....8...2...2....47..9.....3....6...5.2..3.1..57....9..84..5.6..9	4.24	2.97	0	0
7.....9.2.6.19.3.7..3.6.....74.5.2...9......33........8..726.4.5...3............1	12.10	5.65	1	0
2..........84....9.43..7.....1..2.......4....3.98..6.....9..24.6...351..........7	8.19	15.04	1	0
.....4.....43.257...3.......27...35.3...6...1.56...4....5...2...4.5.78.....6.1...	4.77	4.37	0	0
....5.....93...1...2...4..7.........6..9.7.5...158...........4...713.5.9..2....3.	8.80	4.19	0	0
.....9.21..........24...67...9765....7.....4...3.1.....38...79.....7....4..2.1.3.	11.03	12.98	1	0
....1..3...8..94...6.7...1....54...35...7...66...912...1...3.7...24..8...5..8....	14.05	5.55	1	0
7.2...9.8..........35.9.76.6...5...4..9471..5...9.6........9....23...87.5...2...3	5.14	4.37	0	0
67..4..1.3.21....9..1..38....6....4.....8...1.2....7...13...9..7....23.4.6..9..8.	21.29	11.54	1	0
......92.....264.8....89.6.......1...15.3..4..94...65.2..1.7...3.6.52............	15.68	7.41	1	0
315...............2.9..735....725..8.........67.4.3..9..4...213...........193.8.7	14.60	6.10	1	0
..........69.2.1..1......59....56.....59.36...8.....2...43......5.........81.79..	6.28	5.91	0	0
........4.7.....6.8..4.9..32..3.8..99.......2..7...18..9..6..1..5.....3.....1.2..	5.67	7.09	0	0
1.7...59..62.......4..93..635...9.......74.....1....5....3..2..7......68..8..6.1.	20.80	8.24	1	0
...8.6.....6...1...8..1.92.5.9...2.....4.....6...9..73..81.45............1.7.8.3.	12.51	17.41	1	1
.2......8..14......86...4....371......4..65..8...35.9.......35.6....2..9...1....6	8.77	9.47	0	0
..8.4.......9.......1...5.9...87..5.7..1.3..2.8.42....6.5...4...4...9.2.3.....9.5	9.30	12.01	1	0
..61.9.8.....2..742....56..7..8......3....1.24.2....6...7.9....38...6....2..8..4.	15.69	8.01	1	0
.2..17.3...1...7...9.....5..4..3..6.3.......5.76....2.4..8....3.1.4...9....6.2.1.	21.79	10.04	1	0
..6.4817..8......4..5........4..7.9....1.3....3.2..8..7.....9..6......2..1258....	19.51	12.39	1	0
...4.9.....253...8.9...84...5.......6...4.72.1.3.....4..7....53....7.8...2...59..	10.23	7.82	1	0
..7...4....4.28..........7.8....4..6.....1598.93........68....593...........79..2	4.22	4.50	0	0
39..1..74...........6...3..5.2.7.1.34.......9...4......538.46..2.......8.6.7.5.2.	4.56	4.57	0	0
...48.71......5......9....85.9......7.....2.6.3...4.9.3.6.7...29....2.....7.4.3.1	55.38	35.90	1	0
2..4.87....81...9..6...3....4.8..92......2.5...9.1....1..2....4.5.73..........6..	4.70	8.11	0	0
2...8.......4.6...3.4...1.7..76.12.........6...62..4..5.9.........5.4...8...1...9	5.90	6.30	0	1
6...7.......52.7........1.92..8...1.8..3.24....6.......9.6..3..34.7..8.......9...	7.38	4.58	0	0
..87.23....71..8..4.......2.5...1.86.........3.19....5..2.5.7.39...........4.6...	19.50	10.79	1	0
69.....851.7.....6..2...7...2.9.6.1..4..3....9.......8...4.7.....92..5..4..1....7	8.25	9.90	1	0
.......61.4...17......654......26.....28...9..6.3...7..94...5.287..4....2.....9..	20.05	14.68	1	0
7.......2..5...6....14.65..32..9...1.9.5.1.8....3.8....7...9.1....1.2...8.......3	12.81	10.42	1	0
........98..3...2....1...7...6...3...5.79.4..78....9..4....1...9...6.13.3..28....	4.81	4.55	0	0
...1.8...46.3.5.17..1...9...7.4.9.3.6.......1.3.8.6.4...9...3..74.6.2.98...9.4...	4.67	4.37	0	1
...6.8..........2.58.3...71..6.7.5...3.....1...9.4.2...5...9.84.7..........4.5...	5.24	5.48	0	0
7...1..43..4.......95....6....15.....3...9......4.6..7...6.29........31.859...2..	10.00	6.85	0	0
.9.......7....13.23.5.4..........1....7..25.3.5..9..8....17.........8....1.32..94	13.61	14.61	1	0
.............724...5.6.3128..2.....5.1........69...37..21..7..6..8..1.3...39..5.2	10.81	7.56	1	0
...9.1....3.6.2.5...8...2...2456387...........8329761...1...7...5.7.6.9....1.9...	4.05	5.90	0	0
6....97....9.4...5.1...78..5..7....8..6..4.2.8.......6..49..1...8...1..3...3...4.	14.90	10.16	1	0
72.5....64...26......13.9..3.6.......12.6.7...8...2.....8.7...........921......4.	4.16	5.80	0	1
.........74....186.6.3.1...41.....95..87.5....9.....32.8.2.4.1.154....6..........	4.79	4.39	0	0
.6..3.45...4...7...8........3.47..2.4.89........5.8....4.....7...3.6.1...72.8.34.	10.46	6.45	1	0
.....4.51......37.....15.6..1..82.....53...192.495...........8.856.7.1..7........	6.20	4.04	0	0
6....7..1.....58...78...6...9..7...2...5.4.......9..16..4...18...94.....7..8.3..5	12.38	9.13	1	0
..4.8.....8.7...9.....25..8.16....2.4.3...5.6......34.1..69.....6.4.2.5.......2..	19.89	6.45	1	1
21...9.4....1.8.9.8.....1......9...5.2....8.94..3.......3.2.71.7.5.3..........5..	6.07	4.65	0	0
7...4...2.....91...4.378....345.12..5.6...4.9..14.735....723.6...79.....4...8...1	3.41	3.61	0	0
..43516..3.1...7.9..5.........7.5....9.....1..57.4.39......2......6.7...1.......8	4.87	4.25	0	0
.17...4.2...3.9.....9...3.....9.5....7.....5.8....4..6..31..2...2.....7..6.8.3...	11.47	8.20	1	0
..6.17.......4...84..3..1....7......89...63..6...2...1..165...2..........53..27..	7.47	5.89	0	1
.3.7..4.....9....62.5..4..1..4..3.8..........86.2..9..3.9...1.54.............537.	24.52	17.62	1	0
.5.7.....34..6.1...7...4.....1.9...4.8.1...9.4...7.5.....2.....9......32.1.5...6.	4.01	5.19	0	0
....3.8..7...........8...4.6..1.4..24.......1..........4..5......63.27...98.7..1.	5.26	6.08	0	0
............1.3....2..6..9..6.8.7....53..967.......5..4...1...2.1.2.6.3.3.......8	8.55	6.58	0	0
4.5..2..............9...5.....7.4..2.6..9..1.9..1.3..5..39..4...........8.74.59.3	8.25	5.63	0	0
...86.2...3..7.......3.91..3.6.5...474.........5....8.8.4....6......65.1...1...9.	41.96	51.64	1	0
.8..17.5.34.........2..3.1.....7..8.8..6....97......65.........9.31.8..4....95..1	14.21	9.16	1	0
....4897....1......8.3..5..6.8........7.9.2........4.1..1..5.6......3...97.21....	17.99	17.73	1	0
43......7.8...1.2....6......4..3....2..7.4..5..7.5..9......2..16......7.5...1...2	5.53	4.45	0	0
..4.......718.....6...743..4.5..1.....34.59.....7..8.5...51...8.....359.....2.4..	12.61	6.91	1	0
3.2...7.55.......8..7..8.2....7............4....1....92..86..5...4...1.2.16..4.9.	4.87	4.27	0	0
......83632.7..9..4.1.........9.....9...5...8.....45........6.4..9..1.53568.4....	4.80	4.23	0	0
4..83..1..2..7.........67.3...6..58........477.4.....284..2.6.........3...59.3...	11.20	4.37	0	0
1...6..298..2..4...2.5.4.....1.3.64.6..8.2..3.34.5.8.....7.9.3...9..3..831..2...6	2.12	3.22	0	0
7.......3.31..7.8...98..16..5..4.7.....6.9.....4.1..2..97..16...6.2..93.2.......5	3.87	3.33	0	0
.....4..9..5.9.23..67.....1....7.1...9.2.8..562..5..7..8.7......1...3...5.2.6....	13.73	9.06	1	0
..4..2....63....7....7...439.....6.87.......1831....9..8...4......9..38.....174..	8.52	7.08	1	0
.46..71......2.8.7.....4.5.....4.28........65.23.6.....1.......8...9...2..75...9.	34.28	17.00	1	0
6..4.2..1.2.....865.7...3.....597...............846...2.5...4..86.....924..3....8	10.85	5.61	1	0
9....4.3...4.7.....2...87...7.6....3.......4.1...5.6.2..9.8.4...5......68.17...9.	27.21	17.20	1	0
..2......93.7...68.6...9.2.62.....47.........48.....36...1.4.9.2..9.3.71..4...3..	4.81	3.98	0	0
...4.....5.7...31..3....6.5.9.31.8.......5..664..9...............37..1...52.8.7..	9.04	6.87	1	0
..27.49........6..3.......81.......3..9...5...5.2.6.9....1.7....2.9.8....916.237.	11.58	4.34	0	0
.2..9.......3.7.4...64..8..6........94..8...2.......958.9...3..7......6.1.473..8.	6.01	6.70	0	0
....3.19....6.25.7.7..1...69.8...76...........15...9.47...8....2.94.3....34.7....	20.82	10.59	1	0
.7.852.6..2....71..........45...7..2..3.6.9..9..2...31...........8...19..3.54....	7.07	4.84	0	0
....9..35.7...5......2..9...48..2...7...........1.854.2.1..9......3...8.93..7....	7.49	6.85	1	0
.2.....9.4...5..2....9.4....1..97....3.1............34....1..69.9..6.5..27.......	3.98	4.78	0	0
..2.96.8.3....26.....87...4......9..53.2.9.....6...4.36.........13......79..4.81.	4.25	3.68	0	0
....9...1.5..17...8.7....9...4....6.....26.1..8.4.1....4...5....21....38....3.2..	7.81	7.68	0	0
...5.6....38...15..2.....8.2.......4...9.3.....56.29..9.6...8.23.......9...8.7...	7.77	4.62	1	0
.2.....9.48...1.7....54...1..58....4..9..6....7..1..28......5..958..7......6.8...	4.66	5.22	0	1
.396.5.......18..3..1.2.5...4........73...18.9......4.7.8.9.4......7.......1..83.	5.26	4.95	0	0
2.1.....6..7.1...........23..2596....5...2.9....87.2..3.........8..6..4.6.....7.1	8.58	6.11	0	0
7.8..2..1......48.1....5.9....3...24....41...9.2.5.6...3...8.....1.....92..1...4.	9.44	8.95	1	0
.754....1....1.497........29...47..8.82...7.....59..3.2.13...........1....7.....5	32.64	6.34	1	0
.42.6.9..6..1.5...3.1....6459.2.......6.79.........2......94.2..3......8.....74.5	14.27	5.91	1	0
8..9.7.4....8.5....2.....5.7..4.8..1..4......1...6...7.9.....8....3.6...46.7....2	9.60	7.03	1	1
12..4...3...2....7..47........8.5...5.......1.139.2.4.....6.2.....1.9...6......79	12.47	6.96	1	0
..3......68..9...4..5673..........2..49..251.8...........9352......8..46......9..	6.40	9.30	0	0
6...3.........415.7....1......2...6.23...7..8..79....4.9....2.....1....9..3..58..	9.61	5.47	0	0
..6..18....3......92......5.4..7.23.3..........7.9.48.63.....2...9........81.45..	6.55	5.62	0	0
36.....41..84.39....7...3..15.3.9.278..1.7..6.2.6.5.8..7.....3...4.9.6...........	14.82	4.29	1	0
..3...2..1.4.8...3..2..1...3.75.4...............7.2..4...1..5..7..8..4.2.25..79..	8.24	8.72	0	0
...5....8..5..9....84....9.5..3...4.....7...2.2.9..1.....7.3.26..82..7..2...8.4..	5.78	6.42	0	0
.....4....1.....2...45.39...........4.68..5.17..9....392.....78..5...2....76.91..	11.50	5.80	1	0
1..2.7..862..8..53..7...1...8.4.5.3.4.......9.3.6.9.8...8...6..56..9..713..7.6..2	3.62	2.33	0	0
..2.6....96.1..2.....5....3.....4.9.4..73.1.2.13...8...9......77..9..48.5........	14.49	8.86	1	1
......7..49....1.....6.2..3..8....1.63.9...8.9.72...........8....3.9....7.4153...	16.19	11.45	1	0
......2.....3261..83........7...9.8..438...1..8.532..........67..1975.....4......	7.61	4.65	0	0
..2..1.........2483....6.5.....39..594.......5..7....3..6....8....1.7.....182.6..	10.48	7.33	1	0
.....51.82...4.63.....7...24.8.....596.....4...3....9....4......8.69.3...9...8...	9.35	9.38	1	1
.37.......2.17.546.....2...34...1.2....6.831.......4...7.284..9..5......2.....7..	15.84	8.62	1	0
7......2.4.6.....3..5....61.8.3.......2645....4...1.......3.6.......6279....29..5	13.22	8.16	1	0
.7....96...5..7..8.8.52....86.........1.....6....1.49....47..2...2..5..141.....3.	12.95	10.69	1	0
.5.....6......2...4.19.58.21.2.....8.96......8.......3.4.6...8...74.89.....2.3...	9.50	4.51	0	0
...37.1...2..15......8....72.....61........39..69....589.2......13....5.5....83..	5.93	7.31	0	1
..47.2.8.92.4.......7...3..4..1..9.5.........6.3.....7..5...2.......1.94.3...65..	4.14	4.61	0	0
3....8..2...74..9...59..7..9..6.43...8..9......65.3.....4..16...1..2..8.........5	13.94	6.28	1	0
..7......68..3...53..8.5....73...9.....4.2....2....58......6..293..4..17..6...3..	10.11	9.97	1	0
24.1..9..8..5...7...3..6...3.....1...8.....4...9...8.6...6..4...9...1..5..6..5.12	5.55	3.57	0	0
..7...8.....2.4....6....42...35.2..15........6....8..5.95...64....8.3.....4...1..	4.79	7.25	0	1
....3.52.71......3...4...6.6...9..5..........45..8..16.2.5.3.4..4.....35.7....8..	12.38	9.36	0	0
.6..4.1..4..8.5...........2.4.......93.5.6.84....1...57......9.....7.8....8.64..1	5.48	4.96	0	1
3.......7..7...4...1.9.2.3...14.7..9..6..32..7.3..5..8.7.2.4.....2...1..4........	18.06	14.46	1	0
4..2.9..5..7.........7.4.1.2....5..7..9...2..8....1..4.5.3.2.9...3.........4....1	5.14	6.05	0	0
..63..9..34.1.6.5.8..5.9..2.9...7.1...8...2....7...8....5...1..6...3...5........9	6.15	6.04	0	0
...9.3........26.8........4..37.51..1..428..37.......2..4.3.2...9.....5.5....7..6	13.05	6.16	1	0
.5.2...8...86.4..........6.....9..51..5..8....7..2..4..2..6....7..4..9.5.4...9.7.	19.47	7.65	1	1
